date,lang,grouping_eng,e_interest_eng,e_p1_eng,e_p2_eng,e_p3_eng,e_p4_eng,e_p5_eng,e_g1_eng,e_g2_eng,e_g3_eng,e_g4_eng,e_g5_eng,e_g6_eng,c_interest_eng,c_p1_eng,c_p2_eng,c_p3_eng,c_p4_eng,c_p5_eng,c_g1_eng,c_g2_eng,c_g3_eng,c_g4_eng,c_g5_eng,c_g6_eng,c_invest_eng,ec_neighb_eng,ec_loc_eng,ec_gender_eng,ec_age_eng,ec_edu_eng,grouping_nl,e_interest_nl,e_p1_nl,e_p2_nl,e_p3_nl,e_p4_nl,e_p5_nl,e_g1_nl,e_g2_nl,e_g3_nl,e_g4_nl,e_g5_nl,e_g6_nl,c_interest_nl,c_p1_nl,c_p2_nl,c_p3_nl,c_p4_nl,c_p5_nl,c_g1_nl,c_g2_nl,c_g3_nl,c_g4_nl,c_g5_nl,c_g6_nl,c_invest_nl,ec_neighb_nl,ec_loc_nl,ec_gender_nl,ec_age_nl,ec_edu_nl,grouping_fr,e_interest_fr,e_p1_fr,e_p2_fr,e_p3_fr,e_p4_fr,e_p5_fr,e_g1_fr,e_g2_fr,e_g3_fr,e_g4_fr,e_g5_fr,e_g6_fr,c_interest_fr,c_p1_fr,c_p2_fr,c_p3_fr,c_p4_fr,c_p5_fr,c_g1_fr,c_g2_fr,c_g3_fr,c_g4_fr,c_g5_fr,c_g6_fr,c_invest_fr,ec_neighb_fr,ec_loc_fr,ec_gender_fr,ec_age_fr,ec_edu_fr
"2018/04/27 10:08:38 PM GMT+2","Nederlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Een burger die geen deel uitmaakt van een lokaal burgerinitiatief, een sociaal project of een sociale organisatie.","","","","","","","","","","","","","Ik zou eventueel geinteresseerd kunnen zijn door het financieren van burgerinitiatieven","akkoord","helemaal akkoord","akkoord","akkoord","akkoord","niet akkoord","helemaal akkoord","niet akkoord","akkoord","akkoord","niet akkoord","","akkoord","Brussels","een vrow","25-34jaar","Master","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/27 10:22:02 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Pas d'accord","D'accord","Pas d'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","D'accord","","Pas d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Diplôme secondaire"
"2018/04/27 10:41:59 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Sans opinion","D'accord","Pas d'accord","Sans opinion","D'accord","Sans opinion","Pas d'accord","Sans opinion","D'accord","Pas d'accord","Pas d'accord","","D'accord","Bruxelles-Capitale","Une femme","35-44 ans.","Master"
"2018/04/27 11:21:38 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","Tout à fait d'accord","Sans opinion","Tout à fait d'accord","Pas du tout d'accord","Sans opinion","D'accord","Sans opinion","Pas du tout d'accord","Sans opinion","Sans opinion","Pas du tout d'accord","","","","","","","","","","","","","","Tout à fait d'accord","Bruxelles-Capitale","Un homme","45-54 ans.","Master"
"2018/04/28 1:07:37 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","D'accord","Tout à fait d'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas du tout d'accord","","Tout à fait d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/04/28 1:20:32 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","Pas d'accord","Pas du tout d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","Tout à fait d'accord","Sans opinion","Sans opinion","","Pas d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/04/28 7:24:37 AM GMT+2","Nederlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Een burger die geen deel uitmaakt van een lokaal burgerinitiatief, een sociaal project of een sociale organisatie.","","","","","","","","","","","","","Ik ben niet geinteresseerd door burgerinitiatieven","Helemaal niet akkoord","akkoord","akkoord","Helemaal niet akkoord","akkoord","niet akkoord","Helemaal niet akkoord","Helemaal niet akkoord","akkoord","Helemaal niet akkoord","Helemaal niet akkoord","","helemaal akkoord","Vlanderen","een man","25-34jaar","Bachelor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/28 9:29:28 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Sans opinion","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","Sans opinion","Pas d'accord","D'accord","Sans opinion","Sans opinion","","Pas d'accord","Wallonie","Une femme","35-44 ans.","Bachelier"
"2018/04/28 2:24:15 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","D'accord","Sans opinion","D'accord","","","","","","","","","","","","","","D'accord","Bruxelles-Capitale","Un homme","35-44 ans.","Primaire ou sans diplôme"
"2018/04/28 2:50:38 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","Sans opinion","Tout à fait d'accord","Pas d'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","Pas du tout d'accord","Pas d'accord","Sans opinion","Pas d'accord","","","","","","","","","","","","","","D'accord","Flandre","Un homme","35-44 ans.","Bachelier"
"2018/04/28 3:16:35 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas du tout d'accord","Pas d'accord","Sans opinion","D'accord","Pas d'accord","D'accord","","Pas d'accord","Bruxelles-Capitale","Une femme","18-24 ans.","Diplôme secondaire"
"2018/04/28 5:00:17 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Pas du tout d'accord","Sans opinion","Pas du tout d'accord","D'accord","Tout à fait d'accord","Sans opinion","D'accord","Sans opinion","D'accord","Sans opinion","Sans opinion","","Pas d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/04/28 5:53:44 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Pas d'accord","D'accord","Pas d'accord","D'accord","D'accord","Pas du tout d'accord","Pas d'accord","D'accord","D'accord","Sans opinion","Sans opinion","","D'accord","Flandre","Une femme","45-54 ans.","Bachelier"
"2018/04/28 10:47:03 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","D'accord","D'accord","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Sans opinion","","Tout à fait d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/04/29 9:26:38 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Pas d'accord","D'accord","Pas d'accord","D'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Sans opinion","","D'accord","Wallonie","Une femme","35-44 ans.","Master"
"2018/04/29 11:59:19 AM GMT+2","English","Citizen with no active implication in a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to volunteer for a citizen's initiative.","Disagree","Neither agree nor disagree","Strongly disagree","Agree","Disagree","Strongly disagree","Agree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","","Agree","Outside Belgium ","Male","25-34 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/29 4:12:22 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","D'accord","Pas du tout d'accord","Sans opinion","Sans opinion","Pas du tout d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","","Tout à fait d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/04/29 10:38:48 PM GMT+2","English","Active member of a local citizen's initiative, social project or social organization.","I could be interested to join a civic crowdfunding platform.","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","","","","","","","","","","","","","","Agree","Brussels","Female","35-44 years old.","Doctorate degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/30 8:46:10 AM GMT+2","English","Citizen with no active implication in a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to fund a citizen's initiative.","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","","Disagree","Brussels","Male","25-34 years old.","Doctorate degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/30 1:53:16 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","Sans opinion","Sans opinion","Pas d'accord","D'accord","Pas du tout d'accord","Sans opinion","Pas du tout d'accord","Sans opinion","Sans opinion","Sans opinion","","","","","","","","","","","","","","D'accord","Bruxelles-Capitale","Autre/Je préfère le garder pour moi","25-34 ans.","Diplôme secondaire"
"2018/04/30 2:15:18 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Sans opinion","D'accord","Pas d'accord","Pas d'accord","Sans opinion","Pas d'accord","Pas d'accord","D'accord","D'accord","D'accord","Sans opinion","","Pas d'accord","Wallonie","Un homme","25-34 ans.","Master"
"2018/04/30 3:45:21 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","D'accord","Pas d'accord","D'accord","Tout à fait d'accord","Pas du tout d'accord","Tout à fait d'accord","Pas d'accord","Tout à fait d'accord","Sans opinion","Sans opinion","","Pas d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/04/30 5:45:29 PM GMT+2","English","Citizen with casual volonteering for a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to fund a citizen's initiative.","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","","Agree","Brussels","Male","45-54 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/04/30 6:03:26 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","D'accord","Sans opinion","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Pas d'accord","Pas d'accord","","","","","","","","","","","","","","Tout à fait d'accord","Wallonie","Un homme","55-64 ans.","Master"
"2018/05/01 12:14:04 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","D'accord","Pas d'accord","Pas d'accord","Sans opinion","D'accord","Tout à fait d'accord","D'accord","D'accord","Pas d'accord","Tout à fait d'accord","D'accord","0€","Tout à fait d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/01 2:36:49 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas du tout d'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","D'accord","Pas du tout d'accord","D'accord","Sans opinion","Sans opinion","1 - 99€ /an","Tout à fait d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/01 4:55:09 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Sans opinion","D'accord","Sans opinion","D'accord","D'accord","D'accord","Tout à fait d'accord","D'accord","Tout à fait d'accord","D'accord","Sans opinion","1 - 99€ /an","D'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/01 6:15:25 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Tout à fait d'accord","Sans opinion","D'accord","Tout à fait d'accord","Pas du tout d'accord","Pas du tout d'accord","Sans opinion","Tout à fait d'accord","D'accord","Sans opinion","1 - 99€ /an","Tout à fait d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/05/01 6:50:35 PM GMT+2","Nederlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Een burger die occasioneel bijdraagt als vrijliger van een lokaal burgerinitiatief, een sociaal project of een sociale organisatie.","","","","","","","","","","","","","Ik zou eventueel geinteresseerd zijn om een vrijwillige bijdrage te leveren aan een burgerinitiatief","akkoord","akkoord","niet akkoord","akkoord","niet akkoord","niet akkoord","akkoord","niet akkoord","akkoord","geen mening","geen mening","1 - 99€ /jaar","helemaal akkoord","Brussel","een vrow","25-34jaar","Master","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 1:37:13 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","Sans opinion","D'accord","Sans opinion","Pas d'accord","D'accord","Sans opinion","D'accord","D'accord","D'accord","D'accord","D'accord","","","","","","","","","","","","","","D'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Diplôme secondaire"
"2018/05/02 1:38:26 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Pas d'accord","D'accord","Pas du tout d'accord","D'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","D'accord","D'accord","100 - 199€ /an","D'accord","Bruxelles-Capitale","Une femme","35-44 ans.","Diplôme secondaire"
"2018/05/02 2:35:52 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","D'accord","Tout à fait d'accord","Pas d'accord","D'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Sans opinion","0€","Pas du tout d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Bachelier"
